я,меня,мне,меня,мной,мне,мы,нас,нам,нас,нами,нас
он,его,ему,его,им,нём,они,их,им,их,ими,них
книга,книги,книге,книгу,книгой,книге,книги,книг,книгам,книги,книгами,книгах
театр,,,театр,,,,,,,,
концерт,,,,,,концерты,,концерты,,,
парк,,,,,парке,,,,,,
университет,,,,,университете,,,,,,
поликлиника,,,,,поликлинике,,,,,,
суббота,субботы,субботе,субботу,субботой,субботе,субботы,суббот,субботам,субботы,субботами,субботах
дом,дома,дому,дом,домом,доме,дома,домов,домам,дома,домами,домах
два,,,,,,,,,,,
три,,,,,,,,,,,
год,года,году,год,годом,году,,,,,,
спорт,,,спорт,,,,,,,,
раз,раза,,,,,,,,,,
неделя,недели,неделе,неделю,неделей,неделе,недели,недель,неделям,недели,неделям,неделях
